lat,lon
40.437713205,-86.944424588
40.437546179,-86.944060039
40.437543429,-86.944024848
40.437560216,-86.943987837
40.437696193,-86.943795891
40.437717640,-86.943785286
40.437972803,-86.943788786
40.438293934,-86.943790999
40.438319284,-86.943801530
40.438339392,-86.943823264
40.438349575,-86.943855834
40.438348472,-86.943892018
40.438335535,-86.943921720
40.438315699,-86.943939456
40.438295864,-86.943947419
40.438270769,-86.943944588
40.438236541,-86.943939586
40.438207834,-86.943943233
40.438177105,-86.943967626
40.438152559,-86.943997053
40.438098170,-86.944098230
40.438080721,-86.944112826
40.438062983,-86.944116873
40.438047172,-86.944108541
40.437973292,-86.944024760
40.437949084,-86.944010537
40.437924335,-86.944002873
40.437897798,-86.944001048
40.437864528,-86.944024052
40.437838076,-86.944061342
40.437819966,-86.944099382
40.437811892,-86.944148051
40.437811881,-86.944190510
40.437818014,-86.944239542
40.437836401,-86.944299900
40.437862584,-86.944353593
40.437896037,-86.944398537
40.437944197,-86.944437089
40.437994972,-86.944458151
40.438038979,-86.944460250
40.438068388,-86.944454735
40.438241792,-86.944401309
40.438279764,-86.944399413
40.438314233,-86.944412791
40.438337659,-86.944441742
40.438354200,-86.944487413
40.438362495,-86.944555688
40.438357836,-86.944633698
40.438343222,-86.944675534
40.438328565,-86.944695235
40.438303628,-86.944710611
40.438278938,-86.944715406
40.438252001,-86.944709634
40.438113983,-86.944635432
40.438069178,-86.944634321
40.438030627,-86.944654525
40.438004311,-86.944696368
40.437973760,-86.944794028
40.437953113,-86.944818978
40.437938036,-86.944826681
40.437919051,-86.944826681
40.437891409,-86.944807628
40.437872978,-86.944770925
40.437713205,-86.944424588
