type	latitude	longitude	name	desc	kml_folder
T	40.437713205	-86.944424588	inner bound		inner bound
T	40.437546179	-86.944060039			
T	40.437543429	-86.944024848			
T	40.437560216	-86.943987837			
T	40.437696193	-86.943795891			
T	40.437717640	-86.943785286			
T	40.437972803	-86.943788786			
T	40.438293934	-86.943790999			
T	40.438319284	-86.943801530			
T	40.438339392	-86.943823264			
T	40.438349575	-86.943855834			
T	40.438348472	-86.943892018			
T	40.438335535	-86.943921720			
T	40.438315699	-86.943939456			
T	40.438295864	-86.943947419			
T	40.438270769	-86.943944588			
T	40.438236541	-86.943939586			
T	40.438207834	-86.943943233			
T	40.438177105	-86.943967626			
T	40.438152559	-86.943997053			
T	40.438098170	-86.944098230			
T	40.438080721	-86.944112826			
T	40.438062983	-86.944116873			
T	40.438047172	-86.944108541			
T	40.437973292	-86.944024760			
T	40.437949084	-86.944010537			
T	40.437924335	-86.944002873			
T	40.437897798	-86.944001048			
T	40.437864528	-86.944024052			
T	40.437838076	-86.944061342			
T	40.437819966	-86.944099382			
T	40.437811892	-86.944148051			
T	40.437811881	-86.944190510			
T	40.437818014	-86.944239542			
T	40.437836401	-86.944299900			
T	40.437862584	-86.944353593			
T	40.437896037	-86.944398537			
T	40.437944197	-86.944437089			
T	40.437994972	-86.944458151			
T	40.438038979	-86.944460250			
T	40.438068388	-86.944454735			
T	40.438241792	-86.944401309			
T	40.438279764	-86.944399413			
T	40.438314233	-86.944412791			
T	40.438337659	-86.944441742			
T	40.438354200	-86.944487413			
T	40.438362495	-86.944555688			
T	40.438357836	-86.944633698			
T	40.438343222	-86.944675534			
T	40.438328565	-86.944695235			
T	40.438303628	-86.944710611			
T	40.438278938	-86.944715406			
T	40.438252001	-86.944709634			
T	40.438113983	-86.944635432			
T	40.438069178	-86.944634321			
T	40.438030627	-86.944654525			
T	40.438004311	-86.944696368			
T	40.437973760	-86.944794028			
T	40.437953113	-86.944818978			
T	40.437938036	-86.944826681			
T	40.437919051	-86.944826681			
T	40.437891409	-86.944807628			
T	40.437872978	-86.944770925			
T	40.437713205	-86.944424588	
