x,y
148.0,175.0
158.0,176.0
149.0,176.0
148.0,176.0
159.0,178.0
149.0,177.0
148.0,177.0
157.0,179.0
149.0,178.0
147.0,178.0
157.0,181.0
148.0,179.0
157.0,182.0
147.0,179.0
156.0,183.0
155.0,183.0
147.0,180.0
146.0,180.0
155.0,184.0
147.0,181.0
155.0,185.0
146.0,181.0
155.0,186.0
145.0,181.0
155.0,187.0
146.0,182.0
155.0,188.0
145.0,182.0
146.0,183.0
153.0,188.0
145.0,183.0
144.0,183.0
145.0,184.0
153.0,191.0
144.0,184.0
145.0,185.0
152.0,192.0
144.0,185.0
151.0,193.0
144.0,186.0
143.0,185.0
151.0,195.0
143.0,186.0
150.0,195.0
150.0,196.0
142.0,186.0
149.0,196.0
143.0,188.0
142.0,187.0
143.0,189.0
142.0,188.0
147.0,197.0
142.0,189.0
141.0,188.0
146.0,198.0
141.0,189.0
141.0,190.0
145.0,199.0
140.0,189.0
145.0,201.0
140.0,190.0
140.0,191.0
140.0,192.0
139.0,190.0
139.0,191.0
139.0,192.0
139.0,193.0
138.0,191.0
138.0,192.0
138.0,193.0
140.0,204.0
137.0,191.0
137.0,193.0
137.0,194.0
138.0,204.0
136.0,192.0
137.0,204.0
135.0,193.0
135.0,205.0
134.0,193.0
133.0,206.0
133.0,192.0
131.0,204.0
132.0,192.0
132.0,191.0
129.0,207.0
131.0,193.0
131.0,191.0
131.0,190.0
128.0,203.0
130.0,192.0
130.0,190.0
126.0,203.0
129.0,192.0
129.0,191.0
129.0,190.0
129.0,189.0
128.0,191.0
128.0,190.0
123.0,201.0
128.0,189.0
128.0,188.0
127.0,190.0
127.0,189.0
120.0,202.0
127.0,188.0
126.0,189.0
127.0,187.0
126.0,188.0
120.0,197.0
126.0,187.0
125.0,188.0
119.0,196.0
126.0,186.0
118.0,196.0
126.0,185.0
125.0,186.0
118.0,194.0
126.0,184.0
118.0,192.0
126.0,183.0
117.0,191.0
126.0,182.0
115.0,191.0
117.0,189.0
124.0,183.0
125.0,182.0
126.0,181.0
116.0,188.0
124.0,182.0
125.0,181.0
126.0,180.0
116.0,186.0
124.0,181.0
125.0,180.0
114.0,186.0
115.0,185.0
126.0,179.0
115.0,184.0
114.0,184.0
125.0,179.0
115.0,183.0
124.0,179.0
126.0,178.0
114.0,182.0
125.0,178.0
124.0,178.0
113.0,181.0
126.0,177.0
113.0,180.0
125.0,177.0
124.0,177.0
116.0,178.0
127.0,176.0
126.0,176.0
125.0,176.0
124.0,176.0
116.0,176.0
127.0,175.0
117.0,174.0
125.0,174.0
126.0,174.0
127.0,174.0
128.0,174.0
118.0,172.0
117.0,171.0
126.0,173.0
127.0,173.0
117.0,170.0
118.0,170.0
128.0,173.0
70.0,152.0
126.0,172.0
119.0,169.0
73.0,150.0
127.0,172.0
75.0,148.0
119.0,168.0
128.0,172.0
78.0,146.0
119.0,167.0
127.0,171.0
129.0,172.0
121.0,167.0
120.0,166.0
128.0,171.0
121.0,166.0
120.0,165.0
122.0,166.0
121.0,165.0
129.0,171.0
128.0,170.0
121.0,164.0
85.0,132.0
122.0,164.0
86.0,130.0
86.0,128.0
130.0,171.0
87.0,126.0
123.0,163.0
87.0,122.0
123.0,162.0
129.0,169.0
130.0,170.0
124.0,162.0
123.0,160.0
129.0,168.0
123.0,159.0
130.0,169.0
124.0,159.0
123.0,157.0
124.0,158.0
130.0,168.0
123.0,155.0
125.0,158.0
131.0,169.0
125.0,156.0
125.0,155.0
131.0,168.0
126.0,156.0
126.0,155.0
131.0,167.0
126.0,153.0
131.0,166.0
124.0,144.0
131.0,165.0
131.0,164.0
132.0,167.0
119.0,114.0
132.0,166.0
132.0,165.0
132.0,164.0
132.0,163.0
132.0,162.0
132.0,160.0
133.0,166.0
133.0,165.0
133.0,163.0
133.0,160.0
133.0,155.0
133.0,146.0
133.0,116.0
134.0,163.0
136.0,115.0
135.0,155.0
135.0,158.0
139.0,113.0
140.0,113.0
141.0,113.0
142.0,112.0
143.0,112.0
144.0,112.0
146.0,111.0
147.0,109.0
149.0,108.0
150.0,107.0
152.0,105.0
154.0,102.0
157.0,96.0
181.0,30.0
183.0,32.0
185.0,34.0
186.0,39.0
187.0,43.0
188.0,47.0
189.0,51.0
190.0,54.0
191.0,58.0
192.0,61.0
192.0,64.0
193.0,68.0
194.0,71.0
195.0,73.0
195.0,75.0
194.0,82.0
188.0,94.0
182.0,106.0
178.0,114.0
175.0,120.0
172.0,126.0
170.0,130.0
169.0,133.0
167.0,137.0
166.0,139.0
165.0,141.0
163.0,144.0
163.0,145.0
162.0,147.0
161.0,149.0
158.0,153.0
158.0,154.0
159.0,154.0
157.0,156.0
157.0,157.0
159.0,156.0
156.0,159.0
155.0,160.0
156.0,160.0
155.0,161.0
156.0,161.0
155.0,162.0
154.0,163.0
155.0,163.0
154.0,164.0
153.0,165.0
152.0,166.0
153.0,166.0
154.0,166.0
152.0,167.0
153.0,167.0
152.0,168.0
153.0,168.0
151.0,169.0
152.0,169.0
153.0,169.0
151.0,170.0
152.0,170.0
150.0,171.0
151.0,171.0
152.0,171.0
163.0,169.0
150.0,172.0
152.0,172.0
161.0,171.0
149.0,173.0
151.0,173.0
160.0,173.0
149.0,174.0
160.0,174.0
