x,y
181.0,30.0
182.0,31.0
183.0,32.0
184.0,33.0
185.0,34.0
185.0,35.0
186.0,36.0
186.0,37.0
186.0,38.0
186.0,39.0
187.0,41.0
187.0,42.0
187.0,43.0
188.0,44.0
188.0,45.0
188.0,46.0
188.0,47.0
189.0,49.0
189.0,50.0
189.0,51.0
190.0,52.0
190.0,54.0
190.0,55.0
190.0,56.0
191.0,58.0
191.0,59.0
191.0,60.0
192.0,62.0
192.0,63.0
193.0,65.0
193.0,67.0
193.0,68.0
194.0,70.0
194.0,72.0
195.0,74.0
196.0,77.0
196.0,78.0
195.0,79.0
195.0,81.0
194.0,82.0
194.0,84.0
193.0,85.0
192.0,87.0
191.0,88.0
191.0,89.0
190.0,90.0
189.0,93.0
188.0,94.0
188.0,95.0
187.0,97.0
186.0,98.0
185.0,100.0
185.0,101.0
184.0,102.0
183.0,104.0
182.0,106.0
181.0,108.0
181.0,109.0
179.0,111.0
179.0,112.0
178.0,114.0
177.0,116.0
151.0,71.0
150.0,70.0
147.0,66.0
146.0,65.0
145.0,65.0
144.0,64.0
144.0,65.0
143.0,64.0
142.0,63.0
141.0,63.0
140.0,62.0
139.0,61.0
139.0,62.0
138.0,61.0
138.0,63.0
137.0,61.0
136.0,60.0
136.0,61.0
135.0,60.0
135.0,62.0
134.0,59.0
135.0,71.0
133.0,59.0
133.0,71.0
132.0,59.0
132.0,71.0
131.0,59.0
131.0,98.0
130.0,59.0
129.0,59.0
129.0,58.0
128.0,59.0
128.0,57.0
127.0,59.0
127.0,57.0
126.0,59.0
126.0,57.0
125.0,59.0
125.0,57.0
124.0,59.0
124.0,57.0
123.0,59.0
123.0,57.0
122.0,58.0
122.0,57.0
121.0,58.0
121.0,57.0
120.0,58.0
120.0,57.0
119.0,58.0
119.0,57.0
118.0,57.0
117.0,58.0
117.0,57.0
116.0,58.0
115.0,59.0
114.0,59.0
113.0,60.0
113.0,59.0
111.0,61.0
111.0,60.0
110.0,60.0
109.0,61.0
108.0,61.0
107.0,61.0
105.0,63.0
104.0,63.0
102.0,64.0
98.0,68.0
95.0,70.0
41.0,127.0
39.0,125.0
38.0,123.0
37.0,120.0
36.0,118.0
36.0,115.0
37.0,111.0
38.0,108.0
61.0,86.0
64.0,82.0
65.0,79.0
67.0,76.0
67.0,75.0
67.0,73.0
67.0,71.0
68.0,69.0
71.0,66.0
71.0,65.0
71.0,63.0
71.0,62.0
70.0,61.0
70.0,60.0
69.0,59.0
69.0,58.0
69.0,57.0
68.0,56.0
68.0,54.0
67.0,53.0
67.0,52.0
66.0,51.0
