x,y
161.0,175.0
160.0,176.0
150.0,176.0
160.0,177.0
159.0,178.0
158.0,178.0
148.0,177.0
158.0,179.0
158.0,180.0
157.0,180.0
157.0,181.0
156.0,181.0
157.0,182.0
156.0,182.0
157.0,183.0
155.0,183.0
147.0,180.0
156.0,184.0
155.0,184.0
156.0,185.0
155.0,185.0
146.0,181.0
155.0,186.0
154.0,186.0
155.0,187.0
154.0,187.0
155.0,188.0
153.0,187.0
154.0,188.0
154.0,189.0
153.0,189.0
153.0,190.0
152.0,190.0
153.0,191.0
153.0,192.0
145.0,185.0
152.0,192.0
152.0,193.0
152.0,194.0
144.0,186.0
152.0,195.0
153.0,197.0
153.0,198.0
152.0,198.0
151.0,197.0
152.0,199.0
151.0,199.0
150.0,198.0
150.0,199.0
150.0,200.0
148.0,198.0
149.0,200.0
149.0,201.0
148.0,201.0
148.0,202.0
147.0,201.0
147.0,202.0
146.0,201.0
146.0,203.0
145.0,202.0
145.0,203.0
145.0,204.0
144.0,204.0
144.0,205.0
143.0,203.0
143.0,205.0
142.0,204.0
142.0,206.0
141.0,205.0
141.0,206.0
140.0,205.0
140.0,206.0
139.0,206.0
139.0,207.0
138.0,207.0
137.0,203.0
137.0,206.0
136.0,207.0
135.0,207.0
134.0,207.0
133.0,207.0
132.0,207.0
131.0,207.0
132.0,194.0
130.0,207.0
129.0,207.0
129.0,206.0
128.0,206.0
128.0,205.0
127.0,206.0
127.0,205.0
126.0,206.0
126.0,204.0
125.0,206.0
125.0,204.0
124.0,205.0
124.0,204.0
123.0,205.0
122.0,205.0
122.0,204.0
122.0,203.0
121.0,204.0
121.0,202.0
120.0,203.0
120.0,202.0
120.0,201.0
119.0,202.0
119.0,200.0
120.0,198.0
118.0,200.0
118.0,199.0
118.0,198.0
119.0,196.0
117.0,198.0
117.0,197.0
117.0,196.0
125.0,186.0
116.0,196.0
116.0,195.0
116.0,194.0
115.0,194.0
115.0,193.0
115.0,192.0
115.0,191.0
116.0,190.0
115.0,190.0
116.0,189.0
115.0,189.0
116.0,188.0
114.0,189.0
116.0,187.0
115.0,187.0
116.0,186.0
114.0,187.0
116.0,185.0
114.0,186.0
113.0,186.0
114.0,185.0
113.0,185.0
114.0,184.0
113.0,184.0
115.0,183.0
114.0,183.0
113.0,183.0
114.0,182.0
113.0,182.0
114.0,181.0
113.0,181.0
114.0,180.0
113.0,180.0
125.0,177.0
114.0,179.0
116.0,178.0
114.0,178.0
126.0,176.0
115.0,177.0
124.0,176.0
115.0,176.0
115.0,175.0
116.0,174.0
116.0,173.0
118.0,173.0
127.0,174.0
116.0,172.0
117.0,172.0
117.0,171.0
118.0,171.0
52.0,152.0
42.0,147.0
41.0,145.0
34.0,141.0
32.0,138.0
31.0,136.0
30.0,133.0
30.0,131.0
28.0,128.0
26.0,125.0
25.0,122.0
24.0,119.0
24.0,117.0
24.0,116.0
26.0,113.0
24.0,111.0
26.0,108.0
27.0,106.0
27.0,104.0
28.0,102.0
29.0,99.0
30.0,98.0
31.0,97.0
33.0,94.0
34.0,93.0
36.0,91.0
38.0,90.0
39.0,88.0
40.0,87.0
42.0,86.0
44.0,83.0
45.0,82.0
48.0,80.0
49.0,79.0
51.0,77.0
52.0,76.0
55.0,74.0
56.0,72.0
57.0,70.0
56.0,64.0
41.0,38.0
42.0,34.0
43.0,31.0
45.0,27.0
46.0,25.0
48.0,21.0
50.0,19.0
52.0,17.0
53.0,16.0
57.0,13.0
59.0,12.0
64.0,11.0
66.0,10.0
68.0,11.0
72.0,12.0
75.0,12.0
79.0,14.0
83.0,15.0
86.0,15.0
89.0,15.0
92.0,15.0
95.0,15.0
98.0,15.0
100.0,15.0
103.0,15.0
106.0,16.0
109.0,15.0
112.0,15.0
116.0,13.0
117.0,13.0
120.0,13.0
123.0,12.0
126.0,15.0
129.0,15.0
133.0,15.0
136.0,15.0
139.0,13.0
140.0,13.0
144.0,14.0
147.0,15.0
150.0,15.0
153.0,15.0
156.0,15.0
159.0,15.0
160.0,15.0
164.0,16.0
167.0,16.0
170.0,15.0
173.0,15.0
177.0,13.0
180.0,13.0
181.0,13.0
185.0,15.0
187.0,16.0
189.0,18.0
191.0,20.0
193.0,23.0
195.0,27.0
196.0,29.0
198.0,33.0
198.0,38.0
199.0,42.0
200.0,46.0
201.0,50.0
202.0,53.0
203.0,56.0
203.0,61.0
204.0,63.0
204.0,68.0
204.0,72.0
205.0,74.0
205.0,78.0
205.0,81.0
204.0,86.0
203.0,90.0
200.0,97.0
196.0,104.0
195.0,108.0
193.0,112.0
192.0,115.0
188.0,121.0
187.0,124.0
185.0,128.0
183.0,131.0
182.0,134.0
180.0,137.0
180.0,138.0
178.0,141.0
177.0,143.0
177.0,144.0
176.0,146.0
175.0,148.0
174.0,150.0
173.0,151.0
173.0,152.0
171.0,154.0
172.0,154.0
171.0,156.0
170.0,157.0
169.0,158.0
169.0,159.0
169.0,160.0
168.0,161.0
167.0,162.0
166.0,163.0
167.0,163.0
167.0,164.0
166.0,165.0
165.0,166.0
163.0,167.0
165.0,167.0
164.0,168.0
162.0,169.0
163.0,169.0
162.0,170.0
163.0,170.0
162.0,171.0
163.0,171.0
162.0,172.0
162.0,173.0
150.0,174.0
161.0,174.0
