x,y
197.0,31.0
197.0,32.0
198.0,33.0
198.0,34.0
198.0,35.0
198.0,37.0
198.0,38.0
198.0,39.0
199.0,40.0
199.0,42.0
199.0,43.0
199.0,44.0
200.0,46.0
200.0,47.0
200.0,48.0
201.0,50.0
202.0,52.0
202.0,53.0
203.0,55.0
203.0,56.0
203.0,58.0
203.0,59.0
203.0,60.0
203.0,62.0
204.0,64.0
204.0,66.0
204.0,67.0
204.0,69.0
204.0,71.0
204.0,72.0
205.0,75.0
205.0,76.0
205.0,78.0
205.0,80.0
205.0,82.0
204.0,83.0
204.0,85.0
204.0,87.0
204.0,88.0
203.0,90.0
202.0,92.0
202.0,93.0
201.0,95.0
200.0,97.0
199.0,98.0
198.0,100.0
197.0,101.0
196.0,103.0
196.0,105.0
195.0,107.0
194.0,109.0
194.0,110.0
193.0,112.0
192.0,115.0
191.0,116.0
190.0,118.0
189.0,119.0
188.0,122.0
187.0,124.0
186.0,125.0
185.0,128.0
184.0,129.0
183.0,132.0
182.0,134.0
180.0,137.0
179.0,139.0
178.0,141.0
177.0,144.0
175.0,147.0
174.0,150.0
173.0,152.0
171.0,156.0
170.0,157.0
168.0,161.0
167.0,164.0
165.0,167.0
163.0,171.0
161.0,175.0
159.0,178.0
157.0,183.0
155.0,187.0
153.0,192.0
152.0,199.0
149.0,201.0
146.0,203.0
144.0,205.0
142.0,206.0
139.0,207.0
136.0,207.0
133.0,207.0
129.0,207.0
125.0,206.0
122.0,205.0
120.0,203.0
118.0,200.0
115.0,194.0
113.0,186.0
117.0,133.0
116.0,129.0
115.0,124.0
123.0,69.0
122.0,71.0
121.0,71.0
120.0,71.0
120.0,70.0
119.0,71.0
118.0,71.0
117.0,71.0
116.0,72.0
115.0,73.0
114.0,73.0
113.0,73.0
112.0,74.0
79.0,145.0
75.0,148.0
72.0,151.0
68.0,152.0
66.0,152.0
63.0,152.0
60.0,152.0
57.0,152.0
54.0,152.0
52.0,152.0
51.0,151.0
47.0,150.0
45.0,149.0
43.0,148.0
41.0,146.0
39.0,144.0
37.0,143.0
34.0,141.0
33.0,140.0
32.0,138.0
31.0,136.0
30.0,133.0
29.0,130.0
28.0,128.0
26.0,125.0
25.0,123.0
24.0,120.0
24.0,118.0
25.0,115.0
24.0,111.0
26.0,108.0
27.0,104.0
29.0,100.0
32.0,96.0
36.0,91.0
44.0,83.0
51.0,77.0
56.0,72.0
56.0,71.0
58.0,68.0
57.0,66.0
57.0,65.0
56.0,64.0
55.0,62.0
55.0,61.0
