x,y
129,207
130,207
131,207
132,207
133,207
134,207
135,207
136,207
138,207
139,207
125,206
126,206
127,206
128,206
129,206
130,206
131,206
132,206
133,206
134,206
135,206
136,206
137,206
138,206
139,206
140,206
141,206
142,206
122,205
123,205
124,205
125,205
126,205
127,205
128,205
129,205
135,205
136,205
137,205
138,205
139,205
140,205
141,205
142,205
143,205
144,205
121,204
122,204
123,204
124,204
125,204
126,204
127,204
128,204
129,204
130,204
131,204
132,204
137,204
138,204
139,204
140,204
141,204
142,204
144,204
145,204
120,203
121,203
122,203
123,203
125,203
126,203
127,203
128,203
137,203
138,203
139,203
140,203
141,203
142,203
143,203
144,203
145,203
146,203
119,202
120,202
121,202
122,202
123,202
124,202
125,202
140,202
141,202
142,202
143,202
144,202
145,202
146,202
147,202
148,202
119,201
120,201
121,201
122,201
123,201
124,201
141,201
142,201
143,201
144,201
145,201
146,201
147,201
148,201
149,201
118,200
119,200
120,200
122,200
123,200
124,200
141,200
142,200
145,200
146,200
147,200
148,200
149,200
150,200
118,199
119,199
120,199
121,199
122,199
145,199
146,199
147,199
148,199
149,199
150,199
151,199
152,199
117,198
118,198
119,198
120,198
121,198
146,198
147,198
148,198
149,198
150,198
151,198
152,198
153,198
117,197
118,197
119,197
120,197
147,197
148,197
149,197
150,197
151,197
152,197
153,197
116,196
117,196
118,196
119,196
120,196
148,196
149,196
150,196
151,196
152,196
116,195
117,195
118,195
119,195
150,195
151,195
152,195
115,194
116,194
118,194
119,194
132,194
133,194
134,194
135,194
136,194
137,194
151,194
152,194
115,193
116,193
118,193
131,193
132,193
133,193
134,193
135,193
136,193
137,193
138,193
139,193
151,193
152,193
115,192
116,192
117,192
118,192
129,192
130,192
131,192
132,192
133,192
136,192
137,192
138,192
139,192
140,192
151,192
152,192
153,192
115,191
116,191
117,191
128,191
129,191
130,191
131,191
132,191
137,191
138,191
139,191
140,191
141,191
152,191
153,191
115,190
116,190
117,190
127,190
128,190
129,190
130,190
131,190
139,190
140,190
141,190
142,190
152,190
153,190
114,189
115,189
116,189
117,189
126,189
127,189
128,189
129,189
140,189
141,189
142,189
143,189
153,189
154,189
115,188
116,188
117,188
125,188
126,188
127,188
128,188
141,188
142,188
143,188
153,188
154,188
155,188
114,187
115,187
116,187
125,187
126,187
127,187
142,187
143,187
144,187
153,187
154,187
155,187
113,186
114,186
115,186
116,186
125,186
126,186
142,186
143,186
144,186
145,186
154,186
155,186
113,185
114,185
115,185
116,185
124,185
125,185
126,185
143,185
144,185
145,185
155,185
156,185
113,184
114,184
115,184
116,184
124,184
125,184
126,184
144,184
145,184
155,184
156,184
113,183
114,183
115,183
116,183
124,183
125,183
126,183
144,183
145,183
146,183
155,183
156,183
157,183
113,182
114,182
124,182
125,182
126,182
145,182
146,182
147,182
156,182
157,182
113,181
114,181
124,181
125,181
126,181
145,181
146,181
147,181
156,181
157,181
113,180
114,180
124,180
125,180
